plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity
STER_011,-103.031538,40.461168,2016,334,6.48,0.165,9.2,419,92.3,72,4
STER_011,-103.031538,40.461168,2016,334,6.37,0.104,9.2,419,92.3,72,2
STER_011,-103.031538,40.461168,2016,334,6.65,0.134,9.2,419,92.3,72,1
STER_012,-103.029801,40.460053,2016,334,6.31,0.186,9.2,419,92.3,72,4
STER_012,-103.029801,40.460053,2016,334,6.77,0.077,9.2,419,92.3,72,2
STER_010,-103.030496,40.460611,2016,334,6.88,0.141,9.2,419,92.3,72,4
STER_010,-103.030496,40.460611,2016,334,6.91,0.142,9.2,419,92.3,72,5
STER_006,-103.035332,40.463935,2016,334,5.39,0.118,9.2,419,92.3,72,3
STER_006,-103.035332,40.463935,2016,334,5.96,0.107,9.2,419,92.3,72,6
STER_016,-103.030754,40.463856,2016,334,6.35,0.143,9.2,419,92.3,72,4
STER_016,-103.030754,40.463856,2016,334,6.1,0.093,9.2,419,92.3,72,6
STER_016,-103.030754,40.463856,2016,334,5.3,0.139,9.2,419,92.3,72,7
STER_027,-103.018821,40.480827,2016,334,5.55,0.136,9.2,419,92.3,72,5
STER_027,-103.018821,40.480827,2016,334,5.63,0.17,9.2,419,92.3,72,6
STER_032,-103.025102,40.472029,2016,335,5.77,0.12,9.2,419,92.3,72,8
STER_032,-103.025102,40.472029,2016,335,6.05,0.119,9.2,419,92.3,72,5
STER_032,-103.025102,40.472029,2016,335,6.11,0.107,9.2,419,92.3,72,7
STER_026,-103.0243,40.474713,2016,335,6.07,0.099,9.2,419,92.3,72,7
STER_026,-103.0243,40.474713,2016,335,5.56,0.115,9.2,419,92.3,72,4
STER_026,-103.0243,40.474713,2016,335,6.21,0.112,9.2,419,92.3,72,2
STER_028,-103.018333,40.473273,2016,335,7.95,0.107,9.2,419,92.3,72,8
STER_028,-103.018333,40.473273,2016,335,6.52,0.124,9.2,419,92.3,72,6
STER_028,-103.018333,40.473273,2016,335,7.53,0.155,9.2,419,92.3,72,5
STER_033,-103.011866,40.47639,2016,335,7.52,0.122,9.2,419,92.3,72,5
STER_033,-103.011866,40.47639,2016,335,7.09,0.136,9.2,419,92.3,72,6
STER_033,-103.011866,40.47639,2016,335,6.55,0.131,9.2,419,92.3,72,3
STER_031,-103.011685,40.470725,2017,95,6.22,0.193,9.2,419,92.3,72,5
STER_031,-103.011685,40.470725,2017,95,6.1,0.169,9.2,419,92.3,72,5
STER_029,-103.011749,40.468561,2017,95,6.19,0.16,9.2,419,92.3,72,8
STER_029,-103.011749,40.468561,2017,95,6.24,0.141,9.2,419,92.3,72,3
STER_029,-103.011749,40.468561,2017,95,6.03,0.153,9.2,419,92.3,72,4
STER_012,-103.029801,40.460053,2017,100,6.63,0.201,9.2,419,92.3,72,2
STER_012,-103.029801,40.460053,2017,100,6.85,0.236,9.2,419,92.3,72,3
STER_028,-103.018333,40.473273,2017,100,7.45,0.179,9.2,419,92.3,72,1
STER_027,-103.018821,40.480827,2017,100,7.56,0.17,9.2,419,92.3,72,1
STER_027,-103.018821,40.480827,2017,100,6.48,0.21,9.2,419,92.3,72,2
STER_026,-103.0243,40.474713,2017,100,7.06,0.143,9.2,419,92.3,72,1
STER_026,-103.0243,40.474713,2017,100,5.91,0.201,9.2,419,92.3,72,4
STER_011,-103.031538,40.461168,2017,101,6.54,0.236,9.2,419,92.3,72,2
STER_011,-103.031538,40.461168,2017,101,6,0.176,9.2,419,92.3,72,5
STER_011,-103.031538,40.461168,2017,101,6.21,0.213,9.2,419,92.3,72,5
STER_010,-103.030496,40.460611,2017,101,6.77,0.23,9.2,419,92.3,72,4
STER_010,-103.030496,40.460611,2017,101,6.29,0.224,9.2,419,92.3,72,7
STER_010,-103.030496,40.460611,2017,101,7.46,0.187,9.2,419,92.3,72,4
STER_016,-103.030754,40.463856,2017,101,5.65,0.152,9.2,419,92.3,72,4
STER_016,-103.030754,40.463856,2017,101,5.92,0.198,9.2,419,92.3,72,4
STER_031,-103.011685,40.470725,2017,156,5.94,0.163,9.2,419,92.3,72,5
STER_028,-103.018333,40.473273,2017,156,6.12,0.166,9.2,419,92.3,72,8
STER_028,-103.018333,40.473273,2017,156,6.63,0.161,9.2,419,92.3,72,5
STER_031,-103.011685,40.470725,2017,156,6.18,0.135,9.2,419,92.3,72,2
STER_028,-103.018333,40.473273,2017,156,6.12,0.173,9.2,419,92.3,72,5
STER_026,-103.0243,40.474713,2017,156,6.02,0.179,9.2,419,92.3,72,5
STER_027,-103.018821,40.480827,2017,156,6.3,0.141,9.2,419,92.3,72,9
STER_027,-103.018821,40.480827,2017,156,6.23,0.133,9.2,419,92.3,72,4
STER_006,-103.035332,40.463935,2017,157,5.63,0.201,9.2,419,92.3,72,2
STER_012,-103.029801,40.460053,2017,157,6.17,0.218,9.2,419,92.3,72,4
STER_006,-103.035332,40.463935,2017,157,5.86,0.183,9.2,419,92.3,72,5
STER_012,-103.029801,40.460053,2017,157,7.01,0.19,9.2,419,92.3,72,5
STER_016,-103.030754,40.463856,2017,157,6.17,0.211,9.2,419,92.3,72,2
STER_016,-103.030754,40.463856,2017,157,6.33,0.196,9.2,419,92.3,72,2
STER_010,-103.030496,40.460611,2017,157,7.56,0.158,9.2,419,92.3,72,4
STER_016,-103.030754,40.463856,2017,157,6.24,0.184,9.2,419,92.3,72,3
STER_011,-103.031538,40.461168,2017,157,6.03,0.197,9.2,419,92.3,72,2
STER_011,-103.031538,40.461168,2017,157,7.4,0.184,9.2,419,92.3,72,3
NIWO_043,-105.586515,40.05465,2016,284,4.56,0.188,-0.5,705,73.3,16,3
NIWO_043,-105.586515,40.05465,2016,284,5.24,0.16,-0.5,705,73.3,16,3
NIWO_043,-105.586515,40.05465,2016,284,5.55,0.166,-0.5,705,73.3,16,4
NIWO_041,-105.582964,40.05035,2016,284,5.25,0.162,-0.5,705,73.3,16,8
NIWO_041,-105.582964,40.05035,2016,284,4.01,0.101,-0.5,705,73.3,16,24
NIWO_041,-105.582964,40.05035,2016,284,4.58,0.443,-0.5,705,73.3,16,9
NIWO_042,-105.584355,40.04845,2016,284,4.13,0.432,-0.5,705,73.3,16,2
NIWO_042,-105.584355,40.04845,2016,284,4.34,0.145,-0.5,705,73.3,16,6
NIWO_042,-105.584355,40.04845,2016,284,4.59,0.206,-0.5,705,73.3,16,4
NIWO_040,-105.58471,40.046544,2016,284,3.75,0.113,-0.5,705,73.3,16,25
NIWO_040,-105.58471,40.046544,2016,284,4.93,0.427,-0.5,705,73.3,16,19
NIWO_040,-105.58471,40.046544,2016,284,3.89,0.226,-0.5,705,73.3,16,30
NIWO_004,-105.581501,40.043059,2016,285,4.99,0.301,-0.5,705,73.3,16,10
NIWO_004,-105.581501,40.043059,2016,285,4.28,0.128,-0.5,705,73.3,16,10
NIWO_004,-105.581501,40.043059,2016,285,3.97,0.096,-0.5,705,73.3,16,21
NIWO_004,-105.581501,40.043059,2016,285,4.29,0.195,-0.5,705,73.3,16,28
NIWO_001,-105.558975,40.042345,2016,285,3.66,0.107,-0.5,705,73.3,16,24
NIWO_001,-105.558975,40.042345,2016,285,4.4,0.192,-0.5,705,73.3,16,12
NIWO_003,-105.565041,40.051247,2017,164,5.22,0.094,-0.5,705,73.3,16,3
NIWO_003,-105.565041,40.051247,2017,164,4.93,0.109,-0.5,705,73.3,16,2
NIWO_003,-105.565041,40.051247,2017,164,5.51,0.161,-0.5,705,73.3,16,2
NIWO_004,-105.581501,40.043059,2017,165,4.43,0.403,-0.5,705,73.3,16,20
NIWO_004,-105.581501,40.043059,2017,165,4.74,0.279,-0.5,705,73.3,16,19
NIWO_043,-105.586515,40.05465,2017,165,4.45,0.203,-0.5,705,73.3,16,5
NIWO_043,-105.586515,40.05465,2017,165,4.46,0.35,-0.5,705,73.3,16,8
NIWO_043,-105.586515,40.05465,2017,165,4.06,0.255,-0.5,705,73.3,16,4
NIWO_008,-105.567875,40.054475,2017,166,4.03,0.443,-0.5,705,73.3,16,4
NIWO_008,-105.567875,40.054475,2017,166,4.81,0.328,-0.5,705,73.3,16,6
NIWO_008,-105.567875,40.054475,2017,166,4.87,0.337,-0.5,705,73.3,16,14
NIWO_008,-105.567875,40.054475,2017,212,4.33,0.261,-0.5,705,73.3,16,2
NIWO_004,-105.581501,40.043059,2017,212,4.54,0.228,-0.5,705,73.3,16,14
NIWO_008,-105.567875,40.054475,2017,212,4.37,0.132,-0.5,705,73.3,16,9
NIWO_004,-105.581501,40.043059,2017,212,4.38,0.472,-0.5,705,73.3,16,28
NIWO_008,-105.567875,40.054475,2017,212,3.96,0.304,-0.5,705,73.3,16,8
NIWO_004,-105.581501,40.043059,2017,212,4.12,0.992,-0.5,705,73.3,16,16
NIWO_006,-105.561551,40.055052,2017,212,4.75,0.21,-0.5,705,73.3,16,9
NIWO_006,-105.561551,40.055052,2017,212,5.03,0.357,-0.5,705,73.3,16,17
NIWO_001,-105.558975,40.042345,2017,212,4.04,0.137,-0.5,705,73.3,16,17
NIWO_001,-105.558975,40.042345,2017,212,3.89,0.14,-0.5,705,73.3,16,16
NIWO_003,-105.565041,40.051247,2017,212,4.79,0.192,-0.5,705,73.3,16,4
NIWO_003,-105.565041,40.051247,2017,212,5.37,0.165,-0.5,705,73.3,16,2
NIWO_001,-105.558975,40.042345,2017,212,4.62,0.886,-0.5,705,73.3,16,27
NIWO_003,-105.565041,40.051247,2017,212,4.78,0.268,-0.5,705,73.3,16,1
NIWO_043,-105.586515,40.05465,2017,212,4.62,0.362,-0.5,705,73.3,16,3
NIWO_043,-105.586515,40.05465,2017,212,4.65,0.238,-0.5,705,73.3,16,7
NIWO_043,-105.586515,40.05465,2017,212,4.59,0.27,-0.5,705,73.3,16,2
NIWO_041,-105.582964,40.05035,2017,213,4.08,0.152,-0.5,705,73.3,16,13
NIWO_041,-105.582964,40.05035,2017,213,4.18,0.277,-0.5,705,73.3,16,14
